Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""/node/2945285"">Roadmap to Zero Net Energy Public Buildings</a></strong><br>This guide outlines key steps to facilitate the eventual broad adoption of zero net energy building practices throughout Northeast and Mid-Atlantic states.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Distributed Generation; Energy Management; Renewable Power,Reports & Guides
"<strong><a href=""/node/2730265"">Regional Energy Data Profiles of Low and Moderate Income Households</a></strong><br>This low- to moderate-income (LMI) energy policy and program planning tool provides interactive state-, county-, and city-level worksheets with graphs and data.<br>TOOLS",Access and Use Energy Data,Benchmarking; Data Access and Management,Tools
"<strong><a href=""/node/2730277"">Keys to the House: Unlocking Residential Savings with Program Models for Home Energy Upgrades</a></strong><br>The paper provides program cost and savings estimates (including emissions), and identifies a variety of factors that have contributed to the successful implementation of, three common types of residential energy efficiency programs—direct install retrofits; HVAC replacement and early retirement; and comprehensive, whole-home retrofits.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Energy Audits/Retrofits,Reports & Guides
"<strong><a href=""/node/804821"">Industrial Assessment Centers: A Resource for Public Wastewater Treatment Facilities</a></strong><br>Public wastewater facilities may be eligible to receive a no-cost assessment provided by DOE Industrial Assessment Centers (IACs). Teams located at 28 universities around the country conduct the energy audits to identify opportunities to improve productivity, reduce waste, and save energy.<br>TOOL",Design and Implement Energy Programs,Energy Audits/Retrofits; Energy Management; Wastewater,Tools
"<strong><a href=""/node/2631416"">Best Practices for Building Designers, Operators, and Occupants</a></strong><br>This is a collection of technical guides from Pacific Northwest National Laboratory focused on best practices for energy management in commercial buildings.<br>REPORTS & GUIDES",Access and Use Energy Data,"Benchmarking; Data Access and Management; Energy Management; Evaluation, Measurement, and Verification",Reports & Guides
"<strong><a href=""/node/1577086"">Maps of Energy Efficiency Savings Opportunities</a></strong><br>Shows economic energy efficiency potential in residential, commercial, and industrial buildings, plus a catalog of all state and utility energy efficiency potential studies.<br>WEBPAGES",Develop an Energy Plan; Design and Implement Energy Programs,"Energy Efficiency Resource Standard and Renewable Portfolio Standard; Evaluation, Measurement, and Verification; Strategic Energy Planning; Utilities",Webpages
"<strong><a href=""https://betterbuildingssolutioncenter.energy.gov/implementation-models/innovative-third-party-funding-arrangement-finance-waste-energy-project"">Innovative Third-Party Funding Arrangement to Finance Waste-to-Energy Project</a></strong><br>This implementation model from Victor Valley Wastewater Reclamation Authority (VVWRA) reviews plant upgrades to comply with new nitrogen permit limitations and an expected capacity increase. <br>CASE STUDIES",Design and Implement Energy Programs,Financing; Renewable Power; Wastewater,Case Studies
"<strong><a href=""http://mojo.naseo.org/stateenergyplans"">NASEO Statewide Comprehensive Energy Plan</a></strong></br>NASEO collected State Energy Plans from 38 states and the District of Columbia to establish a baseline of energy planning processes, plan elements, and market implications in a report titled, ""An Overview of Statewide Comprehensive Energy Plans"" From this research, NASEO also developed a set of State Energy Planning Guidelines.</br>WEBPAGES",Develop an Energy Plan,Strategic Energy Planning,Webpages
"<strong><a href=""http://www.mwalliance.org/sites/default/files/media/IRP-Factsheet.pdf"">Integrated Resource Plans: Criteria for an Effective Planning Tool</a></strong><br>This Midwest Energy Efficiency Alliance (MEEA) informational overview outlines utility integrated resource planning, including basic planning criteria, features that can encourage cost-effective energy efficiency, as well as Midwest state examples of planning horizons, frequency of updates, and requirements.<br>RESOURCE SUMMARIES",Develop an Energy Plan,Utilities,Resource Summaries
"<strong><a href=""/node/2787567"">State Planning for VW Settlement Funds</a></strong><br>The purpose of this quick reference guide is to help states develop a productive stakeholder engagement process for state planning related to the Volkswagen (VW) Clean Air Act Civil Settlement.<br>REPORTS & GUIDES",Develop an Energy Plan,Strategic Energy Planning; Sustainable Transportation,Reports & Guides
"<strong><a href=""http://seealliance.org/wp-content/uploads/MEASURES-Solution-Summary.pdf"">Developing Consistency in EM&V Approaches and Emissions Reduction Calculations for ESPC Programs</a></strong><br>This document reviews the collaborative effort to standardize EM&V approaches and tools and documents the MEASURES project’s actual progress in standardization, including solutions and responses to changed circumstances.<br>REPORTS & GUIDES",Develop an Energy Plan,"Evaluation, Measurement, and Verification",Reports & Guides
"<strong><a href=""/node/3095333"">Combined Heat and Power: Kentucky Implementation Model</a></strong><br>This document describes how the state used a stakeholder engagement process to explore policy, regulatory, and market barriers related to CHP.<br>CASE STUDIES",Develop an Energy Plan,Strategic Energy Planning,Case Studies
"<strong><a href=""http://www.michigan.gov/energy/0,4580,7-230-72052_72054_73554---,00.html"">Michigan Energy Roadmap</a></strong><br>Michigan created a stakeholder-and-research-driven roadmap that aligns electric utility business interests and customer behavior with public policy goals.<br>TOOLS",Develop an Energy Plan,Strategic Energy Planning,Tools
"<strong><a href=""https://www.northeastwindcenter.org/resources/opportunities-barriers-shaping-offshore-wind-market-northeastern-us/"">Northeast Offshore Wind Regional Market Characterization</a></strong><br>The report identifies the opportunities and challenges that will shape the offshore wind market.<br>REPORTS & GUIDES",Develop an Energy Plan,Renewable Power,Reports & Guides
"<strong><a href=""https://www.northeastwindcenter.org/resources/us-job-creation-in-offshore-wind/"">U.S. Job Creation in Offshore Wind</a></strong><br>This report quantifies the potential economic development and employment benefits from potential offshore wind development in the U.S. based on estimated market projections.<br>REPORTS & GUIDES",Develop an Energy Plan,Renewable Power,Reports & Guides
"<strong><a href=""https://westernenergyboard.org/wp-content/uploads/2017/03/03-21-17-wieb-ginocchio-sep-roadmap-for-policymakers-corrected-final.pdf"">State Energy Planning Roadmap for Policy Makers</a></strong><br>The roadmap addresses emerging issues facing the Western power system and summarizes significant challenges, highlights key findings, and provides options that policy makers can consider in addressing these issues.<br>REPORTS & GUIDES",Develop an Energy Plan,Strategic Energy Planning,Reports & Guides
"<strong><a href=""http://seealliance.org/wp-content/uploads/MEASURES-State-ESPC-Process-Changes-Final-9-26-16.pdf"">Energy Savings Performance Process Changes</a></strong><br>This document presents process changes adopted in the MEASURES states and recommendations for process changes in other states’ agencies involved in the administration of performance contracting programs.<br>REPORTS & GUIDES",Develop an Energy Plan,"Evaluation, Measurement, and Verification; Financing: Energy Savings Performance Contracting",Reports & Guides
"<strong><a href=""http://ssfengineers.com/wp-content/uploads/2016/04/JHCDMarApr16-3-28-16-Pivotal-Point-Apartments-EHA-ARC.pdf"">The Intersection of EPC and RAD: A Roadmap for PHAS</a></strong><br>Maryland wrote a paper to assist public housing authorities (PHAs) and their partners in considering Rental Assistance Demonstration (RAD), energy savings performance contracting (ESPC), or both.<br>REPORTS & GUIDES",Develop an Energy Plan,Strategic Energy Planning,Reports & Guides
"<strong><a href=""https://www.michigan.gov/documents/energy/2016-03-09_CER_Full_526941_7.pdf"">Clean Energy Roadmap</a></strong><br>The roadmap shares results and recommendations that can be utilized to enhance a clean energy cluster in Michigan and accelerate regional economic development in Michigan and Northeastern Ohio.<br>REPORTS & GUIDES",Develop an Energy Plan,Strategic Energy Planning,Reports & Guides
"<strong><a href=""https://mn.gov/commerce/policy-data-reports/energy-data-reports/mn-action-plan.jsp"">Minnesota’s 2025 Energy Action Plan</a></strong><br>This plan outlines consensus-driven, near-term strategies that add value to Minnesota’s dynamic energy landscape.<br>REPORTS & GUIDES",Develop an Energy Plan,Strategic Energy Planning,Reports & Guides
"<strong><a href=""http://www.energy.sc.gov/public/lgovt"">Local Government Toolkits</a></strong><br>This toolkit describes how the local planning process can be used as an effective platform to promote conservation strategies.<br>TOOLS",Develop an Energy Plan,Strategic Energy Planning,Tools
"<strong><a href=""https://www.advancedenergy.org/wp-content/uploads/2016/12/SCEO_Carolina_Energy_Report_FINAL-WEB-Copy.pdf"">Carolinas Energy Planning for the Future</a></strong><br>This roadmap examines North Carolina’s and South Carolina’s energy capacities, infrastructure, regulations, emerging technologies, and projections.<br>REPORTS & GUIDES",Develop an Energy Plan,Strategic Energy Planning,Reports & Guides
"<strong><a href=""https://www.ahfc.us/files/4213/6330/7361/AHFC_Energy_Management_Guide_2013Reduced.pdf"">A Guide to Managing Energy Use in Public and Commercial Facilities</a></strong><br>The guide provides public facility, commercial building, and small business owners with a starting point for addressing energy use in existing facilities and for recognizing energy efficiency as an energy source. <br>REPORTS & GUIDES",Develop an Energy Plan,Strategic Energy Planning,Reports & Guides
"<strong><a href=""/node/3376325"">Low Income Energy Library: Federal Resources and Tools</a></strong><br>This library of resources and tools seeks to help state and local partners and other stakeholders provide successful energy solutions for low income households.<br>WEBPAGES",Develop an Energy Plan,"Benchmarking; Energy Audits/Retrofits; Energy Efficiency Resource Standard and Renewable Portfolio Standard; Evaluation, Measurement, and Verification; Financing; Renewable Power; Strategic Energy Planning",Webpages
"<strong><a href=""http://aceee.org/research-report/e123"">American Council for an Energy-Efficient Economy (ACEEE) Local Energy Planning Practice: A Review of Recent Experiences</a></strong></br>This study reviews the planning activities of a sample of localities that have developed energy-related plans, summarizes the progress communities have made in their planning processes and analyzes the key choices that local leaders make when drawing up strategic energy plans.</br>REPORTS & GUIDES",Develop an Energy Plan,Strategic Energy Planning,Reports & Guides
"<strong><a href=""/node/913051"">The National Coalition for Dialogue and Deliberation Resource Guide on Public Engagement</a></strong></br>The National Coalition for Dialogue and Deliberation compiled this guidebook featuring effective public engagement techniques and resources.</br>REPORTS & GUIDES",Develop an Energy Plan,Strategic Energy Planning,Reports & Guides
"<strong><a href=""http://www.afdc.energy.gov/tools/"">Alternative Fuels Data Center Tools</a></strong></br>The Alternative Fuels Data Center offers a large collection of helpful tools. These calculators, interactive maps, and data searches can assist fleets, fuel providers, and other transportation decision makers in their efforts to reduce petroleum use.</br>TOOLS",Develop an Energy Plan,Sustainable Transportation,Tools
"<strong><a href=""http://aceee.org/sector/local-policy"">ACEEE Local Policy Portal</a></strong></br>ACEEE's State and Local Policy Database includes comprehensive information on energy efficiency policies and programs being implemented in dozens of leading localities around the United States.</br>WEBPAGES",Develop an Energy Plan,Strategic Energy Planning,Webpages
"<strong><a href=""https://www.epa.gov/statelocalclimate/local-government-climate-and-energy-strategy-series"">U.S. Environmental Protection Agency Local Government Climate and Energy Strategy Series</a></strong></br>The Local Government Climate and Energy Strategy Series gives a straightforward overview of greenhouse gas (GHG) emissions reduction strategies that local governments can use to achieve economic, environmental, social, and human health benefits.</br>WEBPAGES",Develop an Energy Plan,Strategic Energy Planning,Webpages
"<strong><a href=""/node/909041"">Energy Efficiency and Renewable Energy Finance Guide and webpage</a></strong></br>This website aims to provide an overview of financing as it pertains to state, local, and tribal governments who are designing and implementing clean energy financing programs. Learn more below about the information you'll find throughout this site.</br>WEBPAGES",Develop an Energy Plan,Financing,Webpages
"<strong><a href=""https://www4.eere.energy.gov/seeaction/publication/energy-efficiency-program-impact-evaluation-guide"">SEE Action Energy Efficiency Program Impact Evaluation Guide</a></strong></br>A efficiency evaluation, measurement, and verification resource for novices and experts, includes definitions, concepts, and steps for calculating savings, avoided emissions, and other impacts of clean energy programs.</br>REPORTS & GUIDES",Design and Implement Energy Programs,"Evaluation, Measurement, and Verification; Strategic Energy Planning",Reports & Guides
"<strong><a href=""/node/2271849"">EPA Green Power Procurement: A Guide to Developing and Implementing Greenhouse Gas Reduction Programs</a></strong></br>This guide describes a variety of approaches that local governments can use to advance climate and energy goals by meeting some or all of their electricity needs through green power.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Energy Management,Reports & Guides
"<strong><a href=""/node/2271861"">Designing the Right RPS: A Guide to Selecting Goals and Program Options for a Renewable Portfolio Standard</a></strong><br>The Clean Energy States Alliance developed this report for states considering establishing a new RPS, and can also be helpful to states that are considering RPS program modifications. It considers how to set appropriate goals for an RPS and how to choose program design features that will enable the RPS to achieve those goals efficiently and cost-effectively.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard,Reports & Guides
"<strong><a href=""/node/908911"">Guide to Community Energy Strategic Planning</a></strong></br>This guide introduces the Community Energy Strategic Plan (CESP) approach, a step-by-step process for creating a robust strategic energy plan for your government and community that can help save money, create local jobs, and improve our national security.</br>
  The guide offers tools and tips to complete each step and highlights examples from successful planning efforts around the country. Local governments and community stakeholders can use the CESP framework to build on initial energy successes by moving from single projects and programs to a comprehensive, long-term energy strategy that delivers benefits for years to come.</br>WEBPAGES",Develop an Energy Plan,Strategic Energy Planning,Webpages; Reports & Guides
"<strong><a href=""/node/908921"">Aspen, Colorado: Community Energy Strategic Planning Process</a></strong></br>This presentation features Lee Ledesma, utilities operations manager with the City of Aspen, Colorado. Ledesma provides an overview of the City of Aspen's experience in putting together a financing strategy for meeting community energy goals.</br>PRESENTATIONS",Develop an Energy Plan,Financing; Strategic Energy Planning,Presentations
"<strong><a href=""/node/908916"">Arlington County, Virginia: community Energy Plan Case Study</a></strong></br>This presentation features Richard Dooley, community energy coordinator with Arlington County's Office of Sustainability and Environmental Management. Dooley provides an overview of the development and launch of Arlington County's Community Energy Plan.</br>PRESENTATIONS",Develop an Energy Plan,Public-Private Partnerships; Strategic Energy Planning,Presentations
"<strong><a href=""/node/908926"">Minneapolis, Minnesota: Energy Pathways Project Case Study</a></strong></br>This presentation features Brian Ross, a consultant for the City of Minneapolis, Minnesota with CR Planning. Ross provides an overview of how Minneapolis created a local energy vision for its Energy Pathways Project.</br>PRESENTATIONS",Develop an Energy Plan,Public-Private Partnerships; Strategic Energy Planning,Presentations
"<strong><a href=""/node/908931"">Transportation in Community Strategic Energy Plans</a></strong></br>This presentation features Caley Johnson, a fuel and vehicle market analyst with the National Renewable Energy Laboratory. Johnson provides an overview of how and why to incorporate transportation into community strategic energy plans.</br>PRESENTATIONS",Develop an Energy Plan,Strategic Energy Planning; Sustainable Transportation,Presentations
"<strong><a href=""https://www4.eere.energy.gov/seeaction/publication/regulators-privacy-guide-third-party-data-access-energy-efficiency"">A Regulator's Guide to Third-Party Data Access for Energy Efficiency</a></strong></br>This guide summarizes approaches taken by states on privacy and security issues related to third-party access to customer data and provides guidance on policy options for providing access to customer data.</br>REPORTS & GUIDES",Access and Use Energy Data,Data Access and Management,Reports & Guides
"<strong><a href=""https://www4.eere.energy.gov/seeaction/publication/utility-regulators-guide-data-access-commercial-building-energy-performance-benchmarking"">A Utility Regulator's Guide to Data Access for Commercial Building Energy Performance Benchmarking</a></strong></br>This guide offers policy options and considerations to state utility commissions in providing access to energy use data to help commercial customers manage energy costs through building energy benchmarking.</br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking; Data Access and Management,Reports & Guides
"<strong><a href=""/node/2403988"">Case Study – Kentucky Technical Reference Manual Roadmap</a></strong><br>This resource explores the possibility and process of developing a Technical Reference Manual (TRM) for the Commonwealth of Kentucky. A TRM is a technical resource that includes information used in the planning and evaluation of energy efficiency programs<br>CASE STUDY",Design and Implement Energy Programs,"Evaluation, Measurement, and Verification; Strategic Energy Planning",Case Studies
"<strong><a href=""/node/2271833"">EPA On-Site Renewable Energy Generation: A Guide to Developing and Implementing Greenhouse Gas Reduction Program</a></strong><br>This guide describes a variety of approaches that local governments can use to advance climate and energy goals by meeting some or all of their electricity needs through on-site renewable energy generation.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Renewable Power,Reports & Guides
"<strong><a href=""/node/770336"">Guide to Financing EnergySmart Schools</a></strong><br>This guide addresses common barriers associated with new construction, major renovations, and retrofit projects in high­performance schools. It summarizes existing methods of financing and looks ahead to innovative, replicable approaches.<br>REPORTS & GUIDES",Design and Implement Energy Programs,Energy Audits/Retrofits; Financing,Reports & Guides
"<strong><a href=""http://escholarship.org/uc/item/9wr9062r"">Renewable Portfolio Standards: A Factual Introduction to Experience from the United States</strong></a><br>This report provides an introduction to the history, concept, and design of the RPS, reviews early experience with the policy as applied at the state level, and provides a brief overview of Federal RPS proposals to date and the possible relationship between Federal and state RPS policies.<br>GUIDES & REPORTS",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard,Reports & Guides
"<strong><a href=""https://emp.lbl.gov/sites/all/files/PRESENTATION%20lbnl%20-%2063434-ppt.pdf"">Wind Project Financing Structures: A Review and Comparative Analysis</strong></a><br>A summary presentation on the report, which surveyed recent trends in the financing of utility-scale wind projects in the United States, described the seven principal financing structures through which most utility-scale wind projects (excluding utility-owned projects) have been financed from 1999 to the present, and analyzed the potential impact of these seven structures on the levelized cost of energy from wind power<br>PRESENTATIONS",Design and Implement Energy Programs,Public-Private Partnerships; Renewable Power,Presentations
"<strong><a href=""http://energy.gov/sites/prod/files/2016/06/f32/postings_06-21-16.pdf"">Solid-State Lighting Blog: LED Street LIghting</a></strong><br>LED street lighting is a highly visible, high performance technology that is the subject of community guidance recently adopted by the American Medical Association (AMA). The AMA raised questions about the effect of LED streetlights at night, and the impacts on human health and the environment.<br>DOE issued a response and provided the facts on lighting characteristics that should be detailed in design and performance specifications to ensure the best fit for the lighting application. <br>WEBPAGES",Design and Implement Energy Programs,Energy Management; Lighting,Webpages
"<strong><a href=""http://www.afdc.energy.gov/laws/"">Alternative Fuels Data Center: Federal and State Laws and Incentives</strong></a><br>Find federal and state laws and incentives for alternative fuels and vehicles, air quality, fuel efficiency, and other transportation-related topics.<br>WEBPAGES",Design and Implement Energy Programs,Sustainable Transportation,Webpages
"<strong><a href=""http://www.dsireusa.org/"">Database of State Incentives for Renewables and Efficiency (DSIRE)</strong></a><br>DSIRE is the most comprehensive source of information on incentives and policies that support renewable energy and energy efficiency in the United States.<br>WEBPAGES",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard; Financing; Renewable Power,Webpages
"<strong><a href=""http://www.fueleconomy.gov/"">FuelEconomy.gov—Gas Mileage, Emissions, Air Pollution Ratings, and Safety Data</strong></a><br>DOE's Office of Transportation and Air Quality website for fuel economy information.<br>WEBPAGES",Design and Implement Energy Programs,Sustainable Transportation,Webpages
"<strong><a href=""http://www.nrel.gov/grid/ergis.html#ewits"">Eastern Wind Integration and Transmission Study</strong></a><br>This study was a response to questions about wind energy and transmission development posed by utilities, regional transmission operators, and planning organizations.<br>WEBPAGES",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard; Strategic Energy Planning; Renewable Power,Webpages
"<strong><a href=""http://www.imt.org/resources/detail/analysis-of-job-creation-and-energy-cost-savings-from-building-energy-ratin"">Analysis of Job Creation and Energy Cost Savings from Building Energy Rating and Disclosure Policy</a></strong></br>This study analyzes the potential of a national building energy rating and disclosure policy to create jobs and reduce energy-related expenditures in commercial and multifamily residential buildings.</br>WEBPAGES",Design and Implement Energy Programs; Access and Use Energy Data,Benchmarking; Data Access and Management; Energy Management,Webpages
"<strong><a href=""/node/2092235"">State Energy Strategies for Solar Energy</a></strong><br>The U.S. Department of Energy’s SunShot Initiative manages the State Energy Strategies funding program, which provides technical and analytical assistance to states as they seek to meet their renewable energy goals and maximize the benefits of deploying more clean energy. The program aims to leverage that assistance to support existing or anticipated state and regional solar deployment initiatives and planning processes that lead to greater solar electricity deployment across the nation.",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard; Energy Management; Renewable Power; Strategic Energy Planning,Webpages
"<strong><a href=""http://aceee.org/topics/energy-efficiency-resource-standard-eers"">ACEEE Database of State EERS</strong></a><br>An Energy Efficiency Resource Standard (EERS) establishes specific, long-term targets for energy savings that utilities or non-utility program administrators must meet through customer energy efficiency programs.<br>WEBPAGES",Design and Implement Energy Programs,Energy Efficiency Resource Standard and Renewable Portfolio Standard,Webpages
"<strong><a href=""http://www.imt.org/codes/code-compliance"">Institute for Market Transformation's Code Compliance</strong></a><br>This website proivdes information on code compliance savings potential, strategies, and research<br>WEBPAGES",Design and Implement Energy Programs,Energy Audits/Retrofits,Webpages
"<strong><a href=""https://www.epa.gov/statelocalclimate/lead-example-government-operations"">Lead by Example in Government Operations</strong></a><br>This webpage offers a collection of resources related to lead by example programs that states can offer by implementing clean energy and climate change programs within their own buildings and operations. <br>WEBPAGES",Design and Implement Energy Programs,"Energy Audits/Retrofits; Energy Management; Evaluation, Measurement, and Verification; Renewable Power; Strategic Energy Planning",Webpages
"<strong><a href=""https://osr.ashrae.org/Public%20Review%20Draft%20Standards%20Lib/Std-100-2006R-APR1-Draft_2011-04-11_v4.pdf"">ASHRAE Standard 100, Energy Efficiency in Existing Buildings</a></strong></br>Page 34 of this standard provides the EUI for the top 25% of existing buildings. Comparison with these data provides a useful check of data validity.</br>REPORTS & GUIDES",Design and Implement Energy Programs; Access and Use Energy Data,Benchmarking; Data Access and Management,Reports & Guides
"<strong><a href=""https://www.theclimateregistry.org/wp-content/uploads/2017/09/NEER-Principles-and-Operating-Rules_FINAL_9.13.17.pdf"">National Energy Efficiency Registry Principles and Operating Rules</a></strong><br>With partners, Georgia, Michigan, Minnesota, Oregon, Pennsylvania, and Tennessee released this report as a foundation for the first ever web-based platform that collects standardized energy efficiency data.<br>REPORTS & GUIDES",Access and Use Energy Data,Strategic Energy Planning,Reports & Guides
"<strong><a href=""http://benchmarking.harcresearch.org/"">Texas State Energy Conservation Office Benchmarking and Transparency Tool</a></strong><br>Texas developed a web-based tool to help communities benchmark government buildings and create benchmarking programs for other types of buildings.<br>TOOLS",Access and Use Energy Data,Benchmarking,Tools
"<strong><a href=""http://seealliance.org/wp-content/uploads/MEASURES-Recommended-ESPC-EMV-Principles-Development-Final-12-19-16.pdf"">Recommended ESPC M&V Principles Development</a></strong><br>This document offers draft principles for improving ESPC M&V and tracking, and for better recognizing ESPC benefits.<br>REPORTS & GUIDES",Access and Use Energy Data,"Evaluation, Measurement, and Verification; Financing: Energy Savings Performance Contracting",Reports & Guides
"<strong><a href=""http://seealliance.org/wp-content/uploads/Emission_Roadmap_FINAL.pdf"">Emission Reduction Calculation Roadmap</a></strong><br>This document provides a roadmap for translating energy savings into air pollutant emissions reductions.<br>TOOLS",Access and Use Energy Data,"Evaluation, Measurement, and Verification; Financing",Tools
"<strong><a href=""/node/2619996"">Energy Efficiency Savings Infographic: The United States Has the Potential to Cost-Effectively Reduce Its Electricity Use by 741,000 GWh</a></strong><br>This infographic shows the nationwide energy efficiency savings potential and four pathways to savings across the United States.<br>TOOLS",Access and Use Energy Data; Develop an Energy Plan,Energy Efficiency Resource Standard and Renewable Portfolio Standard; Strategic Energy Planning; Utilities,Tools
"<strong><a href=""/node/2587721"">Energy Efficiency Resources to Support State Energy Planning</a></strong><br>This resource summary outlines resources from EERE that can support state officials in their efforts to incorporate energy efficiency into state energy planning.<br>RESOURCE SUMMARIES",Access and Use Energy Data; Develop an Energy Plan,Energy Efficiency Resource Standard and Renewable Portfolio Standard; Strategic Energy Planning; Utilities,Resource Summaries
"<strong><a href=""http://www.imt.org/resources/detail/overview-of-utility-engagement-issues"">Overview of Utility Engagement Issues</a></strong><br>This paper describes what an effective whole-building data access program looks like and how to engage utilities on the key policy issues to create a system that benefits all parties.<br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking,Reports & Guides
"<strong><a href=""https://www.regionalindicatorsmn.com/wedge/city/2/"">Wedge Diagram Tool</a></strong><br>This tool allows users to estimate a city’s potential energy savings and renewable energy use through 2040, using an interactive menu of policy options across market sectors.<br>TOOLS",Access and Use Energy Data,Strategic Energy Planning,Tools
"<strong><a href=""/node/1064456"">Benchmarking & Transparency Policy and Program Impact Evaluation Handbook</a></strong></br>This handbook provides both a strategic planning framework and standard methodologies to determine the energy and non-energy benefits of benchmarking and transparency policies and programs that recently began to proliferate in jurisdictions across the United States.</br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking; Data Access and Management,Reports & Guides
"<strong><a href=""https://www4.eere.energy.gov/seeaction/publication/benchmarking-and-disclosure-state-and-local-policy-design-guide-and-sample-policy"">Benchmarking and Disclosure: State and Local Policy Design Guide and Sample Policy Language</a></strong></br>Provides sample policy language based on a synthesis of existing state and local policies, and discussion on key provisions, for the design of a commercial benchmarking and disclosure policy.</br>REPORTS & GUIDES",Design and Implement Energy Programs; Access and Use Energy Data,Benchmarking; Data Access and Management; Energy Management; Strategic Energy Planning,Reports & Guides
"<strong><a href=""/node/2053726"">Energy Data Management Webinar Series - Part I: Energy Data Collection</a></strong><br>EERE hosted a two-part webinar series to cover energy data management. Part 1 was held on Sept. 20, and covered the creation of a comprehensive energy end-use inventory, improving utility data access, and identifying other sources of consumption data.<br>WEBINARS",Access and Use Energy Data,"Benchmarking; Data Access and Management; Evaluation, Measurement, and Verification",Webinars
"<strong><a href=""/node/2066114"">Energy Data Management Webinar Series – Part II: Benchmarking Energy Data Analysis</a></strong><br>The U.S. Department of Energy hosted a two-part webinar series to cover energy data management. Part 2 helped personnel from public sector organizations identify problems associated with their building energy data, verify accuracy of data, and help clean data. </br>WEBINARS",Access and Use Energy Data,"Benchmarking; Data Access and Management; Evaluation, Measurement, and Verification",Webinars
"<strong><a href=""http://www.imt.org/resources/detail/benchmarking-help-center-guide"">Benchmarking Help Center Guide</a></strong></br>This guide provides recommendations for establishing a benchmarking help center based on experiences and lessons learned in New York City and Seattle.</br>REPORTS & GUIDES",Access and Use Energy Data,Benchmarking; Data Access and Management; Energy Management; Strategic Energy Planning,Reports & Guides
"<strong><a href=""http://www.energystar.gov/buildings/facility-owners-and-managers/existing-buildings/use-portfolio-manager/get-started-benchmarking"">Benchmarking Starter Kit</a></strong></br>The following resources will help a first-timer get started with benchmarking. After reviewing these resources, try benchmarking a single building to better understand the value of measuring your performance.</br>WEBPAGES",Access and Use Energy Data,Benchmarking; Data Access and Management,Webpages
"<strong><a href=""/node/911346"">Benefits of Evaluation, Measurement, and Verification</a></strong></br>This document provides information about the benefits of performing evaluation, measurement, and verification activities.</br>RESOURCE SUMMARIES",Access and Use Energy Data,"Evaluation, Measurement, and Verification; Strategic Energy Planning",Resource Summaries
"<strong><a href=""/node/997161"">Best Practices in Energy Data Collection and Tracking in the Public Sector</a></strong></br>This webinar, held on Dec. 18, 2014, covered DOE's Weatherization and Intergovernmental Programs Office's step-by-step guide with best practices from state and local governments and school districts across the country demonstrating the value of an energy data tracking effort.</br>WEBINARS",Access and Use Energy Data,Benchmarking; Data Access and Management,Webinars
"<strong><a href=""http://www.neep.org/building-energy-rating-and-disclosure-policies"">Building Energy Rating and Disclosure Policies</a></strong></br>This report provides information in the form of case studies and lessons learned from the implementation of various types of disclosure policies around the United States including New York, Texas, Washington, Kansas, Vermont, and Connecticut.</br>REPORTS & GUIDES",Access and Use Energy Data,Data Access and Management; Energy Management,Reports & Guides
"<strong><a href=""http://www.buildingenergysoftwaretools.com/"">Building Energy Software Tools Directory</a></strong></br>A directory of available building energy software tools.</br>WEBPAGES",Access and Use Energy Data,Benchmarking; Data Access and Management; Energy Management,Webpages
"<strong><a href=""http://www.buildingrating.org/"">BuildingRating.org</a></strong></br>This hub for global activity in building energy rating and disclosure policy outlines how energy rating works, compares local policies, and provides access to resources on rating and disclosure.</br>WEBPAGES",Access and Use Energy Data,Benchmarking; Data Access and Management; Energy Management,Webpages
"<strong><a href=""/node/773016"">Buildings Performance Database</a></strong></br>The Building Performance Database (BPD) is the nation's largest dataset of information about the energy-related characteristics of commercial and residential buildings. The BPD combines, cleanses, and anonymizes data collected by federal, state and local governments, utilities, energy efficiency programs, building owners, and private companies, and makes it available to the public. The website allows users to explore the data across real estate sectors and regions, and compare various physical and operational characteristics to gain a better understanding of market conditions and trends in energy performance.</br>WEBPAGES",Access and Use Energy Data,"Benchmarking; Data Access and Management; Energy Management; Evaluation, Measurement, and Verification; Strategic Energy Planning",Webpages
"<strong><a href=""http://www.eia.gov/consumption/commercial/"">Commercial Buildings Energy Consumption Survey</a></strong></br>Provides reference energy consumption data for various facility types to enable comparisons and sanity checking of energy benchmarking data</br>WEBPAGES",Access and Use Energy Data,Benchmarking; Data Access and Management; Energy Management,Webpages
