Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""https://www4.eere.energy.gov/seeaction/publication/credit-enhancement-overview-guide"">Credit Enhancement Overview Guide</a></strong></br>This primer provides an overview of key considerations for state and local policymakers, utility energy efficiency program administrators, and program partners, such as financial institutions, on designing and implementing successful credit enhancement strategies for existing buildings in the residential and commercial sectors.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/951259"">Energy Savings Performance Contracting Legislation Data and Other Resources</a></strong></br>These tools provide data and information on Energy Savings Performance Contracting (ESPC) legislation across the 50 United States and five U.S. territories as well as state-specific resources and references regarding ESPCs.</br>TOOLS",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Tools
"<strong><a href=""http://betterbuildingssolutioncenter.energy.gov/implementation-models/property-assessed-clean-energy-pace-program"">Milwaukee Implementation Model: Property Assessed Clean Energy (PACE) Program</a></strong></br>Overview of property assessed clean energy programs in Milwaukee.</br>CASE STUDIES",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy,Case Studies
"<strong><a href=""/node/1023661"">Commercial Property Assessed Clean Energy (PACE): A Comparative Analysis</a></strong></br>This webinar, held on Feb. 26, 2015, focused on a comparative analysis of program design elements of existing Property Assessed Clean Energy programs across the country.</br>WEBINARS",Pay for Energy Initiatives,Financing; Financing: Property Assessed Clean Energy,Webinars
"<strong><a href=""/node/919436"">What is Energy Savings Performance Contracting (ESPC)?</a></strong></br>Provides a one page overview of energy savings performance contracting, including benefits to a building owner and the basic process.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting; Financing,Resource Summaries
"<strong><a href=""http://betterbuildingssolutioncenter.energy.gov/implementation-models/fund-reduce-energy-demand"">King County Implementation Model: Fund to Reduce Energy Demand</a></strong><br>King County's new tool, Fund to Reduce Energy Demand (FRED), provides county agencies with a sustainable financing tool to help meet long-term energy reduction and climate goals. With the use of FRED, the county was able to get eight energy and water efficiency projects approved.<br>CASE STUDIES",Pay for Energy Initiatives,Financing; Financing: Revolving Loan Funds,Case Studies
"<strong><a href=""https://www4.eere.energy.gov/seeaction/publication/accessing-secondary-markets"">Accessing Secondary Markets as a Capital Source for Energy Efficiency Finance Programs</a></strong><br>This report covers how secondary markets are defined, lessons learned from secondary market transactions of energy efficiency loans to date, program design choices, and who the key actors in secondary market transactions.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/2731165"">Qualified Energy Conservation Bonds: Frequently Asked Questions from State and Local Governments</a></strong><br>A quick 2-page document answering the most frequently asked questions about QECBs and linking to the best resources for further QECB questions.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing,Resource Summaries
"<strong><a href=""/node/3281657"">Update: Qualified Energy Conservation Bonds and New Clean Renewable Energy Bonds Eliminated Under Tax Cuts and Jobs Act</a></strong><br>This one page document briefly explains the elimination of QECBs and CREBs resulting from the Tax Cuts and Jobs Act signed into law in December 2017.<br>CASE STUDIES",Pay for Energy Initiatives,Financing,Case Studies
"<strong><a href=""/node/2426304"">Advancing Energy Efficiency in States: State of Iowa Implementation Model</a></strong><br>Iowa recognized the value of implementing energy efficiency upgrades to reduce building energy use but lacked a data-driven framework to prioritize energy efficiency projects. The Iowa Economic Development Authority (IEDA) partnered with the Iowa Energy Center (IEC) and looked to its neighbor Minnesota in designing the Public Building Benchmarking Project.<br>CASE STUDIES",Access and Use Energy Data; Design and Implement Energy Programs,Benchmarking; Data Access and Management; Energy Management; Utilities,Case Studies
"<strong><a href=""/node/2585581"">Public Energy Partnership: State of Rhode Island Implementation Model – 2012</a></strong><br>The Office of Energy Resources realized (OER) that that municipalities and schools used Energy Efficiency and Conservation Block Grants (EECBG) and State Energy Program (SEP) funds to implement relatively minor projects, leaving many opportunities for deeper savings unrealized. Guided by the philosophy that if it’s not measured, it can’t be managed, OER launched the Rhode Island Public Energy Partnership (RIPEP).<br>CASE STUDIES",Access and Use Energy Data; Design and Implement Energy Programs,Data Access and Management; Public-Private Partnerships; Utilities,Case Studies
"<strong><a href=""/node/2663798"">Schools and Public Housing Integrating Renewables and Efficiency (SAPHIRE) Program: State of Massachusetts Implementation Model</a></strong><br>Energy use in public housing and public schools is critical to meeting state energy savings goals, but efforts to achieve deep energy savings in this sector have been hindered by a lack of access to low-interest financing and capital for energy efficiency and renewable energy upgrade projects. To overcome these challenges, Massachusetts created the SAPHIRE Program, a technical assistance and financing program for energy efficiency improvements and renewable thermal energy retrofits in public housing and public schools.<br>CASE STUDIES",Design and Implement Energy Programs; Pay for Energy Initiatives,Energy Audits/Retrofits; Financing; Renewable Power,Case Studies
"<strong><a href=""/node/3686479"">Rate Design Primer: Who Wants What Changes and Why?</a></strong><br>This rate design primer from the Southeast Energy Efficiency Alliance (SEEA) provides an overview of the drivers behind new rate design proposals, the objectives that rate design can promote, commonly proposed rate modifications, and key issues and considerations.<br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Utilities,Reports & Guides
"<strong><a href=""/node/919451"">Energy Savings Performance Contracting (ESPC)Opportunities and Advantages</a></strong></br>Provides a one page summary of opportunities and advantages for utilizing Energy Savings Performance Contracting.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting; Financing,Resource Summaries
"<strong><a href=""https://www.naseo.org/Data/Sites/1/documents/selfs/state_energy_rlf_report.pdf"">State Energy Revolving Loan Funds</a></strong></br>Overview from NASEO of state energy revolving loan funds.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing; Financing: Revolving Loan Funds,Resource Summaries
"<strong><a href=""http://betterbuildingssolutioncenter.energy.gov/implementation-models/green-initiatives-trust-fund"">City of Pittsburgh Implementation Model: Green Initiatives Trust Fund</a></strong></br>Overview of the City of Pittsburgh implementation model and green initiatives trust fund.</br>CASE STUDIES",Pay for Energy Initiatives,Financing; Financing: Revolving Loan Funds,Case Studies
"<strong><a href=""/node/919446"">Energy Savings Performance Contracting (ESPC) The ESPC Process</a></strong></br>Describes the general Energy Savings Performance Contracting process, including a description and considerations for key steps as well as additional resources.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Resource Summaries
"<strong><a href=""/node/919461"">Energy Savings Performance Contracting (ESPC)How to Finance an ESPC</a></strong></br>Provides a one page summary on key steps involved in financing an Energy Savings Performance Contracting project.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting; Financing,Resource Summaries
"<strong><a href=""/node/919456"">Energy Savings Performance Contracting (ESPC) How to Select an Energy Service Company (ESCO)</a></strong></br>Provides a one page summary on key steps and considerations in selecting an energy service company for an energy savings performance contract.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Resource Summaries
"<strong><a href=""/node/919466"">Federal Government Project Performance Benchmarks</a></strong></br>Reports five major performance metrics that can be used to benchmark proposed energy service company projects within the federal government, disaggregated and reported by major retrofit strategy.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Resource Summaries
"<strong><a href=""/node/919561"">State/Local Government Project Performance Benchmarks</a></strong></br>Reports five major performance metrics that can be used to benchmark proposed energy service company projects within state and local government facilities, disaggregated and reported by major retrofit strategy.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Resource Summaries
"<strong><a href=""/node/919476"">K-12 Schools Project Performance Benchmarks</a></strong></br>Reports five major performance metrics that can be used to benchmark proposed energy service company projects within K-12 schools, disaggregated, and reported by major retrofit strategy.</br>RESOURCE SUMMARIES",Pay for Energy Initiatives,Financing: Energy Savings Performance Contracting,Resource Summaries
